CID,Checker,Category,Type,Impact,Severity,CVSS score,Vulnerable line number,Defect remediation guidance,CWE,OWASP
10188,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Unspecified,,29,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5
10189,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,,41,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"round"""")"".
",89,A1
10190,WEAK_GUARD,Low impact security,Comparison of principal name to a constant,Low,Unspecified,,58,"Use a stronger mechanism to make authorization decisions, such as one based on users having roles or permissions that are checked before performing sensitive operations.",290,A1
10191,XSS,High impact security,Cross-site scripting,High,Unspecified,,147,"Perform the following escaping in the following order to guard against cross-site scripting attacks with Java.

For example: ""Escape.html(file)""


* Use the ""Escape.html"" function from the Coverity Sanitizers Library. This escapes the output for HTML.

",79,A7
10192,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Unspecified,,128,"Perform the following escaping in the following order to guard against cross-site scripting attacks with Java.

For example: ""Escape.html(file)""


* Use the ""Escape.html"" function from the Coverity Sanitizers Library. This escapes the output for HTML.

",404,A7
10193,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Major,,122,"Perform the following escaping in the following order to guard against cross-site scripting attacks with Java.

For example: ""Escape.html(file)""


* Use the ""Escape.html"" function from the Coverity Sanitizers Library. This escapes the output for HTML.

",404,A7
10194,SQLI,High impact security,SQL injection,High,Unspecified,,40,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username"""")"".
",89,A1
10195,CSRF,High impact security,Cross-site request forgery,High,Unspecified,,123,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1
10196,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Major,,18,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5
10197,SQLI,High impact security,SQL injection,High,Unspecified,,20,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"number"""")"".
",89,A1
10198,CSRF,Medium impact security,Cross-site request forgery,Medium,Unspecified,,151,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1
10199,SQLI,Audit impact security,SQL injection,Audit,Unspecified,,22,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username"""")"".
",89,A1
