CID,Checker,Category,Type,Impact,Severity,CVSS score,Event Description,Vulnerable line number,Defect remediation guidance,CWE,OWASP,FilePathname
41895,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",797,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41896,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",375,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41897,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",649,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41898,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",336,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41899,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",174,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41900,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",144,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41901,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",414,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41902,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",926,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41903,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",214,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41904,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",695,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
